stage,oxygen_mg,saturation,kpa,temperature,dry_weight_g,mo2,mo2.1,mo2.2,mo2.3,mo2.4,kpa.mean
Embryo,9,83.78,21.21,12,0.000082,0.000013647,0.166427311,0.005204106,5.204106024,0.000426737,21.23
Embryo,9,83.78,21.21,12,0.000092,9.25E-06,0.10053837,0.003143789,3.143788943,0.000289229,21.23
Embryo,9,83.78,21.21,12,0.000085,7.57E-06,0.089030838,0.002783954,2.783953662,0.000236636,21.23
Embryo,9,83.78,21.21,12,0.00008,8.68E-06,0.108467446,0.003391728,3.391727516,0.000271338,21.23
Embryo,9,83.78,21.21,12,0.000085,7.73E-06,0.090920798,0.002843052,2.843051855,0.000241659,21.23
Embryo,9,83.78,21.21,12,0.000071,7.14E-06,0.100503971,0.003142713,3.142713296,0.000223133,21.23
Embryo,9,83.78,21.21,12,0.000084,1.05E-05,0.124796455,0.003902328,3.902328187,0.000327796,21.23
Embryo,9,83.78,21.21,12,0.000074,7.22E-06,0.097601351,0.00305195,3.051949698,0.000225844,21.23
Embryo,9,83.78,21.21,12,0.000071,7.84E-06,0.110458011,0.003453972,3.453971583,0.000245232,21.23
Juvenile,9,83.78,21.21,12,0.13244,0.052413262,0.395750997,0.012374953,12.374953,1.638938775,21.23
Juvenile,9,83.78,21.21,12,0.11143,0.052835699,0.47416045,0.014826781,14.8267808,1.652148184,21.23
Juvenile,9,83.78,21.21,12,0.09013,0.044738172,0.496373816,0.015521383,15.52138262,1.398942215,21.23
Juvenile,9,83.78,21.21,12,0.08137,0.044010909,0.540873898,0.01691288,16.91287987,1.376201035,21.23
Juvenile,9,83.78,21.21,12,0.09025,0.043208877,0.47876872,0.014970879,14.97087931,1.351121858,21.23
Juvenile,9,83.78,21.21,12,0.06886,0.04559617,0.662157569,0.020705365,20.70536489,1.425771426,21.23
Juvenile,9,83.78,21.21,12,0.07991,0.047702128,0.596948162,0.018666297,18.66629651,1.491623754,21.23
Juvenile,9,83.78,21.21,12,0.08316,0.044360638,0.533437209,0.016680338,16.68033799,1.387136907,21.23
Juvenile,9,83.78,21.21,12,0.07659,0.052088085,0.680089896,0.021266101,21.26610055,1.628770641,21.23
Megalopae,9,83.78,21.21,12,0.000738,0.000751414,1.018175485,0.031837883,31.83788259,0.023496357,21.23
Megalopae,9,83.78,21.21,12,0.000641,0.000355899,0.555225029,0.017361633,17.36163316,0.011128807,21.23
Megalopae,9,83.78,21.21,12,0.000834,0.000385871,0.462674402,0.014467617,14.46761734,0.012065993,21.23
Megalopae,9,83.78,21.21,12,0.00073,0.000324204,0.44411498,0.013887273,13.88727266,0.010137709,21.23
Megalopae,9,83.78,21.21,12,0.00071,0.000621348,0.875138028,0.027365167,27.36516661,0.019429268,21.23
Megalopae,9,83.78,21.21,12,0.0008,0.000553956,0.692444348,0.021652419,21.65241863,0.017321935,21.23
Megalopae,9,83.78,21.21,12,0.00065,0.000527553,0.81162,0.025378987,25.37898687,0.016496342,21.23
Megalopae,9,83.78,21.21,12,0.00082,0.000563153,0.686771342,0.021475026,21.47502631,0.017609522,21.23
Adult,1,10.6,2.65,18,0.8608,0.059745376,0.069406803,0.002170319,2.170319055,1.868210642,2.36
Adult,1,10.6,2.65,18,1.2936,0.052973404,0.040950374,0.0012805,1.280499511,1.656454167,2.36
Adult,1,10.6,2.65,18,1.0934,0.090372421,0.082652662,0.002584511,2.584511019,2.825904348,2.36
Adult,1,10.6,2.65,18,1.1862,0.090431958,0.076236687,0.002383886,2.383886386,2.827766031,2.36
Adult,1,10.6,2.65,18,1.0806,0.059425532,0.054993089,0.001719609,1.719608785,1.858209253,2.36
Adult,1,10.6,2.65,18,0.9273,0.07988765,0.086150815,0.002693897,2.693896638,2.498050353,2.36
Adult,1,10.6,2.65,18,0.861,0.075851934,0.088097484,0.002754768,2.754768104,2.371855338,2.36
Adult,1,10.6,2.65,18,0.8264,0.091427692,0.110633703,0.003459465,3.45946539,2.858902199,2.36
Adult,1,10.6,2.65,18,0.7812,0.073256216,0.093773958,0.002932269,2.932268865,2.290688437,2.36
Adult,1,10.6,2.65,18,0.9766,0.063885838,0.065416586,0.002045547,2.045546778,1.997680983,2.36
Embryo,1,10.6,2.65,18,0.000076,3.53E-06,0.046462077,0.001452848,1.452847938,0.000110416,2.36
Embryo,1,10.6,2.65,18,0.00009642,3.13E-06,0.032469207,0.001015297,1.01529727,0.000097895,2.36
Embryo,1,10.6,2.65,18,0.00009642,3.45E-06,0.035761357,0.001118241,1.118241302,0.000107821,2.36
Embryo,1,10.6,2.65,18,0.00009471,3.67E-06,0.038737932,0.001211318,1.211317457,0.000114724,2.36
Embryo,1,10.6,2.65,18,0.00010085,4.69E-06,0.046551601,0.001455647,1.455647314,0.000146802,2.36
Embryo,1,10.6,2.65,18,0.000089,4.53E-06,0.050889575,0.001591294,1.591293765,0.000141625,2.36
Embryo,1,10.6,2.65,18,0.000075,4.96E-06,0.06607677,0.00206619,2.066190437,0.000154964,2.36
Embryo,1,10.6,2.65,18,0.000071,4.17E-06,0.05877731,0.00183794,1.837939644,0.000130494,2.36
Embryo,1,10.6,2.65,18,0.000087,5.03E-06,0.057840621,0.00180865,1.808649797,0.000157353,2.36
Embryo,1,10.6,2.65,18,0.000085,4.23E-06,0.049707709,0.001554337,1.554337372,0.000132119,2.36
Juvenile,1,10.6,2.65,18,0.04914,0.005022222,0.102202324,0.00319582,3.195820026,0.157042596,2.36
Juvenile,1,10.6,2.65,18,0.05567,0.007764268,0.139469513,0.004361148,4.361147995,0.242785109,2.36
Juvenile,1,10.6,2.65,18,0.01865,0.008917901,0.478171611,0.014952208,14.95220799,0.278858679,2.36
Juvenile,1,10.6,2.65,18,0.03018,0.008709392,0.288581586,0.009023814,9.023814446,0.27233872,2.36
Juvenile,1,10.6,2.65,18,0.03659,0.009433187,0.257807784,0.008061532,8.061531704,0.294971445,2.36
Juvenile,1,10.6,2.65,18,0.03301,0.003808475,0.115373359,0.003607672,3.60767226,0.119089261,2.36
Juvenile,1,10.6,2.65,18,0.02028,0.004902857,0.241758242,0.00755967,7.559669849,0.153310105,2.36
Juvenile,1,10.6,2.65,18,0.01912,0.002628954,0.137497593,0.004299487,4.299486955,0.082206191,2.36
Juvenile,1,10.6,2.65,18,0.06499,0.008092444,0.124518302,0.003893631,3.893630455,0.253047043,2.36
Juvenile,1,10.6,2.65,18,0.03246,0.006154286,0.189595986,0.00592858,5.928579933,0.192441705,2.36
Megalopae,9,83.78,21.21,12,0.000722,0.000351646,0.487044534,0.01522966,15.22966024,0.010995815,21.23
Megalopae,1,10.6,2.65,18,0.000758,0.000119047,0.157053397,0.004910988,4.910988037,0.003722529,2.36
Megalopae,1,10.6,2.65,18,0.00061,8.44E-05,0.13834069,0.00432585,4.325850219,0.002638769,2.36
Megalopae,1,10.6,2.65,18,0.000794,9.94E-05,0.125145794,0.003913252,3.913251828,0.003107122,2.36
